 TIME                    	KJ                       	KWh                      	Schlafen1                	Schlafen2                	Wohnen                   	Bad                      
5.2100000000000000E+02	2.4768275415116300E+03	6.8800765041989800E-01	2.7475397185007900E-01	1.9537733730510200E-01	2.1787634126471600E-01	0.0000000000000000E+00
5.2200000000000000E+02	1.2230016229005500E+04	3.3972267302793000E+00	1.1912833451441600E+00	9.5401620232784500E-01	1.1300687371574300E+00	1.2185844564986700E-01
5.2300000000000000E+02	1.3895398317737700E+04	3.8598328660382500E+00	8.8914908603026800E-01	7.6981625881349600E-01	1.9051200232845600E+00	2.9574749790992500E-01
5.2400000000000000E+02	8.2202410273443700E+03	2.2834002853734400E+00	9.5100363452765900E-02	1.8983838201821300E-01	1.7526386867977200E+00	2.4582285310473600E-01
5.2500000000000000E+02	9.0905878971354200E+03	2.5251633047598400E+00	3.3727902305626800E-01	3.4000338935999500E-01	1.6290175627836800E+00	2.1886332955989600E-01
5.2600000000000000E+02	5.4016199201542600E+03	1.5004499778206300E+00	5.1506997860975000E-01	4.8671383381792000E-01	4.9548057640641300E-01	3.1855889865444700E-03
5.2700000000000000E+02	4.4540836681363800E+03	1.2372454633712200E+00	6.3805304059162600E-01	5.9919242277959100E-01	0.0000000000000000E+00	0.0000000000000000E+00
5.2800000000000000E+02	1.0722358548541200E+04	2.9784329301503200E+00	6.4503569677812700E-01	6.0460677221454200E-01	1.4881796568969000E+00	2.4061080426075100E-01
5.2900000000000000E+02	1.3798974521199000E+04	3.8330484781108400E+00	1.4725259788301200E+00	1.2753584598562900E+00	1.0011973320569900E+00	8.3966707367440600E-02
5.3000000000000000E+02	1.3366041057568700E+04	3.7127891826579800E+00	1.9780068044459800E+00	1.7347823782120100E+00	0.0000000000000000E+00	0.0000000000000000E+00
5.3100000000000000E+02	1.2229911927576700E+04	3.3971977576602000E+00	1.5767472921110100E+00	1.4920053261280800E+00	2.8611228611527200E-01	4.2332853305831100E-02
5.3200000000000000E+02	1.1385853330471700E+04	3.1627370362421400E+00	1.3711817630558700E+00	1.3436846961094700E+00	4.3550573609131700E-01	1.2364840985479300E-02
5.3300000000000000E+02	1.1146143458251600E+04	3.0961509606254500E+00	1.2565353342011500E+00	1.2481845648929600E+00	5.3932542628476500E-01	5.2105635246576700E-02
5.3400000000000000E+02	1.0982477940608100E+04	3.0506883168355900E+00	1.1897146581334500E+00	1.1854708072872400E+00	5.9874977249168600E-01	7.6753078923223000E-02
5.3500000000000000E+02	1.5490583869317400E+04	4.3029399636992800E+00	1.1038757760629100E+00	1.0981268333328700E+00	1.8076787767511300E+00	2.9325857755237100E-01
5.3600000000000000E+02	1.7572530043414900E+04	4.8812583453930300E+00	1.0340828843752500E+00	1.0252654147731000E+00	2.4035412340713500E+00	4.1836881217332800E-01
5.3700000000000000E+02	1.0535562808210800E+04	2.9265452245030100E+00	2.1790468145209600E-01	3.6714071187175700E-01	2.0117592790523300E+00	3.2974055212682400E-01
5.3800000000000000E+02	3.0991488880864700E+03	8.6087469113513100E-01	0.0000000000000000E+00	0.0000000000000000E+00	7.8640406888377900E-01	7.4470622251352500E-02
5.3900000000000000E+02	2.0555033566278200E+03	5.7097315461883900E-01	3.1172083090646900E-01	2.5925232371237100E-01	0.0000000000000000E+00	0.0000000000000000E+00
5.4000000000000000E+02	3.6088595379534700E+03	1.0024609827648500E+00	2.7823187297289800E-01	3.6534011228744200E-01	3.2337671513227800E-01	3.5512282372234100E-02
5.4100000000000000E+02	8.9553432841002800E+03	2.4875953566945200E+00	3.5190937214849500E-01	3.8037600312309400E-01	1.5630521801364200E+00	1.9225780128651200E-01
5.4200000000000000E+02	1.1789226670998400E+04	3.2747851863884500E+00	3.5699646760986100E-01	3.6262013806140300E-01	2.2140476306287000E+00	3.4112095008849000E-01
5.4300000000000000E+02	5.9031643896527000E+03	1.6397678860146400E+00	4.3054314733793000E-01	4.2618638598278800E-01	7.1670985044477800E-01	6.6328502249141800E-02
5.4400000000000000E+02	3.5664281720929300E+03	9.9067449224803700E-01	5.0069997970657000E-01	4.8997451254146800E-01	0.0000000000000000E+00	0.0000000000000000E+00
5.4500000000000000E+02	1.4351665093209200E+04	3.9865736370025500E+00	1.2858585490784300E+00	1.1095867352778000E+00	1.3579592256247500E+00	2.3316912702156300E-01
5.4600000000000000E+02	1.9644796012664400E+04	5.4568877812956800E+00	1.7247751185544400E+00	1.4948567147421300E+00	1.9411925712315700E+00	2.9606337676753500E-01
5.4700000000000000E+02	1.1018408162513300E+04	3.0606689340314700E+00	5.4203960792780500E-01	6.2560099259190900E-01	1.6487895920247800E+00	2.4423874148697400E-01
5.4800000000000000E+02	6.7516378549778500E+03	1.8754549597160700E+00	0.0000000000000000E+00	7.8529314574284300E-02	1.5843727008994100E+00	2.1255294424237600E-01
5.4900000000000000E+02	7.6584275130438900E+03	2.1273409758455300E+00	2.3321045136891600E-01	2.3035688669330500E-01	1.4723288351784400E+00	1.9144480260486400E-01
5.5000000000000000E+02	7.8094299480494800E+03	2.1692860966804100E+00	2.6052892363323900E-01	3.1306293462640100E-01	1.4195489996476400E+00	1.7614523877313100E-01
5.5100000000000000E+02	8.0815564239675600E+03	2.2448767844354300E+00	3.4638107004421200E-01	3.5810694169128000E-01	1.3756277033758000E+00	1.6476106932414000E-01
5.5200000000000000E+02	8.2174212291617100E+03	2.2826170081004700E+00	3.8770550456635600E-01	3.8337491944592500E-01	1.3551298049966400E+00	1.5640677909155300E-01
5.5300000000000000E+02	8.6371726002794500E+03	2.3992146111887400E+00	1.2461302903675700E+00	1.0757285425849400E+00	7.7355778236226400E-02	0.0000000000000000E+00
5.5400000000000000E+02	1.1573018007761900E+04	3.2147272243783100E+00	1.7179985750159600E+00	1.4967286493623500E+00	0.0000000000000000E+00	0.0000000000000000E+00
5.5500000000000000E+02	9.5632049082864000E+03	2.6564458078573300E+00	1.3078677377142000E+00	1.2421179675533900E+00	1.0646010258974100E-01	0.0000000000000000E+00
5.5600000000000000E+02	7.9369601179801600E+03	2.2047111438833800E+00	1.1074952623541300E+00	1.0972158815292400E+00	0.0000000000000000E+00	0.0000000000000000E+00
5.5700000000000000E+02	7.5737402846453100E+03	2.1038167457348100E+00	9.8478339296774200E-01	9.9287527707026300E-01	1.2092792194499300E-01	5.2301537518095900E-03
5.5800000000000000E+02	6.7307816480715100E+03	1.8696615689087500E+00	9.2237280100923400E-01	9.3408927399206600E-01	1.3199493907452000E-02	0.0000000000000000E+00
5.5900000000000000E+02	1.1564370175035600E+04	3.2123250486210000E+00	8.3283235669245800E-01	8.4252441190902800E-01	1.3106620755720400E+00	2.2630620444747600E-01
5.6000000000000000E+02	1.3746668493120000E+04	3.8185190258666700E+00	7.6074803615413100E-01	7.6676013517479100E-01	1.9704460106382500E+00	3.2056484389950200E-01
